商店(shop),餐點性質(type),餐次規則(meal),食物名稱(name),熱量(calories),價格(price),食物六大類(category),食物無片(image)
7-ELEVEN,副餐,"早餐,午餐,晚餐",爆漿燻腸起司飯卷,505,89,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_548.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",韓式烤牛肉多彩飯卷,368,89,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_545.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",宗家府泡菜鮪魚新極大飯糰,293,49,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_546.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",鮭魚鮭魚卵(圓),201,45,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_542.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",新極上飯糰-冠軍烏魚子,232,52,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_543.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",洋釀炸雞新極大飯糰,332,49,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_544.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",爆蛋燒肉新極大飯糰,312,55,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_539.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",炙烤鹽蔥燒肉飯糰,191,36,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_540.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",米香-鹹酥蝦飯糰,226,49,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_538.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",阜杭豆漿-經典飯糰,569,45,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_541.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",牛角燒肉米漢堡,400,79,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_535.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",TOMMI青花椒雞腿排米漢堡,315,79,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_536.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",海鮮大醬新極大飯糰,291,49,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_537.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",新極上飯糰-煙燻銀鮭,228,55,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_534.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",鮭魚起司炒飯飯糰(圓),234,45,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_533.png
7-ELEVEN,主餐,"早餐,午餐,晚餐",星宇握便當-明太子火腿厚蛋,372,69,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_529.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",新極上飯糰-御選蒲燒鰻,222,59,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_531.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",新極上飯糰-蔥鹽生鮭,210,55,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_520.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",新極上飯糰-熟成明太子鮭魚,228,55,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_515.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",蛋白力量飯卷-紐奧良烤雞風味,292,89,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_510.png
7-ELEVEN,主餐,"早餐,午餐,晚餐",乾杯炭火燒肉握便當,525,69,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_511.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",晶英-南蠻炸雞雙享壽司,546,79,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_502.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",星宇新極上-胡同炭火厚切牛小排,219,55,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_503.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",橋村炸雞新極大飯糰,332,49,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_523.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",林聰明-雞肉飯飯糰,226,36,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_525.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",魚卵龍蝦風味沙拉飯糰,227,39,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_527.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",麻油雞飯糰,362,49,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_519.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",晶英府城肉燥米糕飯糰,429,59,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_493.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",新極大-海陸卷壽司,551,89,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_494.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",石安牧場溏心蛋飯糰,168,39,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_495.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",炙燒明太子鮭魚飯糰,185,42,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_496.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",鮪魚肉鬆雙手卷,401,59,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_478.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",北海道秋鮭鮪魚雙手卷,364,59,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_505.png
7-ELEVEN,主餐,"早餐,午餐,晚餐",握便當-豪華秘製雙拼,428,59,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_461.png
7-ELEVEN,主餐,"早餐,午餐,晚餐",握便當-黑胡椒烤雞,334,59,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_458.png
7-ELEVEN,主餐,"早餐,午餐,晚餐",晶華握便當-黑松露野菇雞腿,296,69,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_482.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",日本豆皮壽司,317,49,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_513.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",新極上飯糰-熟成明太子鮭魚,228,55,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_487.png
