商店(shop),餐點性質(type),餐次規則(meal),食物名稱(name),熱量(calories),價格(price),食物六大類(category),食物無片(image)
7-ELEVEN,副餐,"早餐,午餐,晚餐",滷鼎記香滷鵪鶉蛋,176,49,豆魚蛋肉類,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_322.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",厚燒玉子,164,49,豆魚蛋肉類,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_274.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",如記真空綠竹筍,28,69,蔬菜類,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_204.png
7-ELEVEN,主餐,"午餐,晚餐",極饗-青花椒雞腿排波浪麵,514,99,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_218.png
7-ELEVEN,主餐,"午餐,晚餐",極饗-榨菜乾拌麵,460,69,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_215.png
7-ELEVEN,主餐,"午餐,晚餐",香辣魷魚拌麵,600,109,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_216.png
7-ELEVEN,主餐,"午餐,晚餐",極饗-麻油雞麵線,463,99,"全穀雜糧類,豆魚蛋肉類,油脂與堅果種子類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_217.png
7-ELEVEN,主餐,"午餐,晚餐",御選-乾杯炭烤燒肉拌麵,546,109,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_212.png
7-ELEVEN,主餐,"午餐,晚餐",極饗-真飽燒肉拌麵,813,99,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_209.png
7-ELEVEN,主餐,"午餐,晚餐",月見醬油冷烏龍麵,375,99,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_201.png
7-ELEVEN,主餐,"午餐,晚餐",蔥爆沙茶牛肉炒麵,571,89,"全穀雜糧類,豆魚蛋肉類,蔬菜類,油脂與堅果種子類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_202.png
7-ELEVEN,主餐,"午餐,晚餐",府城鹽水風味意麵,552,79,"全穀雜糧類,豆魚蛋肉類,蔬菜類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_193.png
7-ELEVEN,主餐,"午餐,晚餐",北海道蕎麥風味沾麵,336,69,"全穀雜糧類,蔬菜類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_191.png
7-ELEVEN,主餐,"午餐,晚餐",Homeal x貳樓雙起司肉醬義大利麵,492,89,"全穀雜糧類,豆魚蛋肉類,蔬菜類,乳品類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_182.png
7-ELEVEN,主餐,"午餐,晚餐",Homeal x貳樓烤雞佐青醬義大利麵,529,89,"全穀雜糧類,豆魚蛋肉類,蔬菜類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_183.png
7-ELEVEN,主餐,"午餐,晚餐",極饗-豪華雞絲涼麵,607,79,"全穀雜糧類,豆魚蛋肉類,蔬菜類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_184.png
7-ELEVEN,主餐,"午餐,晚餐",極饗-豪華川辣火腿涼麵,618,79,"全穀雜糧類,豆魚蛋肉類,蔬菜類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_185.png
7-ELEVEN,主餐,"午餐,晚餐",極饗-經典麻醬涼麵,727,65,"全穀雜糧類,蔬菜類,油脂與堅果種子類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_195.png
7-ELEVEN,主餐,"午餐,晚餐",極饗-香辣麻醬涼麵,733,65,"全穀雜糧類,蔬菜類,油脂與堅果種子類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_179.png
7-ELEVEN,主餐,"午餐,晚餐",滿漢大餐酸菜牛肉拌麵,546,109,"全穀雜糧類,豆魚蛋肉類,蔬菜類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_83.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",小小樹食蛋酥輕蔬飯糰,224,39,"全穀雜糧類,蔬菜類,豆魚蛋肉類,油脂與堅果種子類",https://www.7-11.com.tw/freshfoods/18_veg/images/veg_146.png
7-ELEVEN,主餐,"午餐,晚餐",小小樹食藜麥彩蔬餐盒,437,99,"全穀雜糧類,蔬菜類,油脂與堅果種子類",https://www.7-11.com.tw/freshfoods/18_veg/images/veg_145.png
7-ELEVEN,主餐,"午餐,晚餐",祥和川味水煮牛若燴飯,556,99,"全穀雜糧類,蔬菜類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/18_veg/images/veg_144.png
7-ELEVEN,主餐,"午餐,晚餐",陽明春天塔香G丁燴飯,633,89,"全穀雜糧類,蔬菜類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/18_veg/images/veg_141.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",輕滷時蔬,43,49,蔬菜類,https://www.7-11.com.tw/freshfoods/18_veg/images/veg_130.png
7-ELEVEN,主餐,"午餐,晚餐",火腿醬香炒飯,645,79,"全穀雜糧類,豆魚蛋肉類,蔬菜類",https://www.7-11.com.tw/freshfoods/18_veg/images/veg_135.png
7-ELEVEN,主餐,"午餐,晚餐",金沙烤豆腐義大利麵,608,89,"全穀雜糧類,豆魚蛋肉類,油脂與堅果種子類",https://www.7-11.com.tw/freshfoods/18_veg/images/veg_124.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",芝麻香鬆蛋三明治,301,39,"全穀雜糧類,豆魚蛋肉類,油脂與堅果種子類",https://www.7-11.com.tw/freshfoods/18_veg/images/veg_123.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",雙色地瓜起司三明治,240,45,"全穀雜糧類,豆魚蛋肉類,蔬菜類",https://www.7-11.com.tw/freshfoods/18_veg/images/veg_105.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",陽明春天野菇炊飯飯糰,213,36,"全穀雜糧類,蔬菜類",https://www.7-11.com.tw/freshfoods/18_veg/images/veg_118.png
7-ELEVEN,主餐,"早餐,午餐,晚餐",陽明春天古早味香菇竹筍粥,189,69,"全穀雜糧類,蔬菜類",https://www.7-11.com.tw/freshfoods/18_veg/images/veg_97.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",油香椒麻蒟蒻(全素),170,69,蔬菜類,https://www.7-11.com.tw/freshfoods/18_veg/images/veg_78.png
7-ELEVEN,主餐,"午餐,晚餐",越式牛肉河粉,430,109,"全穀雜糧類,豆魚蛋肉類,蔬菜類",https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_473.png
7-ELEVEN,主餐,"午餐,晚餐",香炸豬排歐姆蛋咖哩飯,727,99,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_474.png
7-ELEVEN,主餐,"午餐,晚餐",爪哇咖哩豬肉飯,553,89,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_471.png
7-ELEVEN,主餐,"午餐,晚餐",牛角-霜降牛燒肉便當,596,99,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_472.png
7-ELEVEN,主餐,"午餐,晚餐",歐姆蛋包飯,498,89,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_469.png
7-ELEVEN,主餐,"午餐,晚餐",日式雪花牛丼,669,99,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_464.png
7-ELEVEN,主餐,"午餐,晚餐",歐姆蛋牛肉咖哩飯,666,99,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_450.png
7-ELEVEN,主餐,"午餐,晚餐",壹番屋-炸雞排起司咖哩焗飯,770,99,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_457.png
7-ELEVEN,副餐,"午餐,晚餐",增雞蛋白餐,595,99,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_424.png
7-ELEVEN,主餐,"午餐,晚餐",星宇航空-雙醬雞排咖哩飯,764,99,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_444.png
7-ELEVEN,主餐,"午餐,晚餐",黃金炸豬排玉子丼,629,99,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_431.png
7-ELEVEN,主餐,"午餐,晚餐",日式佛蒙特咖哩雞肉飯,795,89,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_428.png
